userName,needSupport,specificSituation,isSocial,whoneed,precisionOrStrength,needInterfaces,interfaces,needMaintenance,whyNeedInterfaces,societalNecessity,otherComments
Juwon,はい,学校,はい,身体に障がいのある方や高齢者,1,はい,キーボード;その他,はい,,あると思います！,1
Hyun,はい,病院,はい,身体に障がいのある方,1,いいえ,,はい,,あると思います！,3123
asdf,はい,病院,,,31ㄷ,いいえ,,はい,,どうでしょうか？,頑張って
werq,はい,建設,,,123ㅈ,いいえ,,はい,,,頑張ってください
qwer,はい,建設,はい,高齢者,312,はい,マウス,いいえ,,,123
12da,はい,公園,,,123,いいえ,,いいえ,,,123
q123qw,はい,工場,,重度の神経疾患を持つ方,3,はい,視線;筋電;マウス,はい,,,123
ikgmso,いいえ,,いいえ,災害支援,,,,,,,3
vidf,いいえ,,はい,忙しい生活を送る人（時短目的）,,,,,,,2
山本 美咲,はい,"料理中",,,"タブレット操作","はい","視線;脳波","いいえ","",,
中村 誠,はい,"工場",,,"部品の組み立て","いいえ",,"はい","",,
藤本 美紀,いいえ,,"はい","高齢者",,,,,,
内田 篤人,いいえ,,"いいえ",,,,,,,,
中山 雅史,いいえ,,"はい","その他（自由記述）",,,,,,
田中,はい,お家,,,重いものを運ぶ,はい,視線;筋電,はい,,,ありがとう
Juwon,いいえ,,はい,災害時に,,,,,,,ないです
加藤 直樹,はい,"車の運転中",,,"ナビのタッチ操作","はい","視線","はい","音声認識の精度を上げてほしい",,
岡田 智子,はい,"子供を抱っこしながら",,,"簡単な物の掴み・移動","いいえ",,"はい","もっと軽量化してほしい",,